0;Camera;Latitude;Longitude
1;UTR-CM-501 Neude rijbaan voor Postkantoor;52.093.421;5.118.278
2;UTR-CM-502 Potterstraat / Loeff Berchmakerstraat;52.093.599;5.118.325
3;UTR-CM-503 Neude plein;52.093.448;5.118.536
4;UTR-CM-504 Neude / Schoutenstraat;52.092.995;5.119.088
5;UTR-CM-505 Neude / Drakenburgstraat / Vinkenurgstraat;52.092.843;5.118.351
6;UTR-CM-506 Vinkenburgstraat / Neude;52.092.378;5.117.902
7;UTR-CM-507 Vinkenburgstraat richting Neude;52.092.234;5.117.766
8;UTR-CM-508 Vinkenburgstraat / richting Bakkerbrug;5.209.189;51.174
9;UTR-CM-509 Ganzenmarkt / Stadhuisbrug / Oudegracht;5.209.181;511.889
10;UTR-CM-510 Korte Minrebroederstraat;52.092.174;5.119.866
11;UTR-CM-511 Stadhuisbrug / Oudkerkhof / Vismarkt;52.091.489;5.119.934
12;UTR-CM-512 Bakkerbrug richting Vinkenburgstraat;52.091.916;5.117.422
13;UTR-CM-513 Oudegracht / Bakkerbrug;5.209.172;5.117.073
14;UTR-CM-514 Bakkerstraat / Oudegracht;52.091.548;5.117.028
15;UTR-CM-515 Steenweg / Bakkerstraat;52.090.872;5.116.621
16;UTR-CM-516 Achter Clarenburg / Voor Clarenburg;52.090.749;5.115.834
17;UTR-CM-517 Steenweg / Mariaplaats;52.090.717;5.117.118
18;UTR-CM-518 Steenweg / Mariastraat;52.090.711;5.116.981
19;UTR-CM-519 Mariastraat / Mariaplaats;52.090.111;511.748
20;UTR-CM-521 Mariaplaats / Zadelstraat / Springweg;52.089.596;5.117.706
21;UTR-CM-522 Mariaplaats richting Bison Bowling;52.089.856;5.116.847
22;UTR-CM-523 Mariaplaats thv tuin;52.089.778;511.674
23;UTR-CM-524 Mariaplaats richting Mariastraat;52.089.572;5.115.423
24;UTR-CM-526 Catharijnesingel / Moreelsepark;52.089.203;5.114.682
25;UTR-CM-527 Stationsplein / Moreelsepark;520.888;5.113.159
26;UTR-CM-529 Van Sijpesteijntunnel;52.091.286;5.107.607
27;UTR-CM-530 Westplein / Van Sijpesteijnkade;52.090.779;510.629
28;UTR-CM-531 Jaarbeursplein naast roltrap;52.088.726;5.107.274
29;UTR-CM-532 Catharijnesingel / Smakkelaarsveld;52.092.355;5.111.495
30;UTR-CM-533 Vredenburg / St. Jacobsstraat;52.093.125;5.114.604
31;UTR-CM-534 Vredenburgplein thv Drieharingstraat;52.091.978;5.114.838
32;UTR-CM-535 Drieharingstraat / Oudegracht;52.092.069;5.116.606
33;UTR-CM-536 Viebrug zijde Intersport;52.093.555;5.116.896
34;UTR-CM-537 Breedstraat / Hardebollenstraat;52.095.067;5.119.369
35;UTR-CM-538 Wijde Begijnestraat / Breedstraat;52.095.378;5.121.693
36;UTR-CM-539 Predikherenstraat / Pauwstraat;52.094.612;5.118.559
37;UTR-CM-540 Breedstraat / Predikherenkerkhof;52.095.047;5.118.339
38;UTR-CM-541 Lange Jansstraat / Janskerkhof;52.093.412;5.120.551
39;UTR-CM-542 Janskerkhof / Drift / Nobelstraat;52.093.223;5.123.167
40;UTR-CM-543 Janskerkhof / Boothstraat;5.209.382;5.122
41;UTR-CM-544-Janskerkhof (plein);52.093.902;5.120.875
42;UTR-CM-545 Oudkerkhof / Korte Jansstraat;52.091.968;5.122.204
43;UTR-CM-545 Stationsstraat / Stationsplein;52.091.068;5.110.979
44;UTR-CM-547 Voorstraat / Jansveld;52.094.985;5.120.682
45;UTR-CM-548 Oudegracht / Drakenburgstraat;52.092.761;5.117.243
46;UTR-CM-549 Choorstraat / Lijnmarkt / Zadelstraat;5.209.038;5.120.155
47;UTR-CM-550-Daalsesingel / Knipstraat;52.094.148;5.110.061
48;UTR-CM-551-Bemuurde Weerd / Adelaarstraat;52.098.529;5.114.028
49;UTR-CM-552-Catharijnekade / Vredenburg;52.092.883;5.112.022
